Término,TF-IDF Promedio,TF-IDF Máximo,% de Textos
corpus linguistics,0.21597461166631796,0.778994522002306,93.33333333333333
corpus datum,0.061524190675574304,0.35715042388607743,76.66666666666667
corpus linguist,0.05448868853857794,0.41137007323531516,66.66666666666666
co occurrence,0.05190591881000997,0.5269666482192575,50.0
frequency list,0.04805389995808399,0.41033456085109704,46.666666666666664
word list,0.045690761458157564,0.7656429158374908,40.0
data point,0.04154297205230954,0.4541684387844604,40.0
word form,0.04039875869712788,0.3348292075008862,36.666666666666664
language use,0.04034345496117632,0.3332325184921671,60.0
learner corpus,0.040020226842731675,0.37197964957856344,23.333333333333332
chi square,0.03784547116598247,0.7413263323660199,30.0
data set,0.035828936026966005,0.47701836674378567,30.0
effect size,0.03492752304816176,0.37077671752238117,36.666666666666664
case study,0.03328514264245781,0.3560845693001807,40.0
corpus analysis,0.03305055992123234,0.20516728042554852,46.666666666666664
cluster analysis,0.03203854813674927,0.49659946023468493,26.666666666666668
language teaching,0.031926201227052996,0.3281745886113468,40.0
word corpus,0.030909967123041535,0.12878837817580505,50.0
corpus corpus,0.029949347134748932,0.19342775591557376,56.666666666666664
corpus research,0.029634196922857434,0.227606445760191,53.333333333333336
text corpus,0.02831975707559573,0.23980920277653894,50.0
concordance line,0.026424892239519045,0.17376976504084318,36.666666666666664
language processing,0.02574302573329259,0.2310585373691768,53.333333333333336
language technology,0.02511774769293058,0.730715657197451,10.0
corpus study,0.02493629746280838,0.2658433757728865,43.333333333333336
language variety,0.024793550378912732,0.22102660950006855,43.333333333333336
language education,0.023515771602701865,0.4639349606624275,16.666666666666664
text length,0.02337593912211177,0.6470790016127396,13.333333333333334
text file,0.02331798763767416,0.29838331366480425,33.33333333333333
word phrase,0.023280258570804326,0.13152086001734145,43.333333333333336
language variation,0.02278103200887956,0.2938931196431885,33.33333333333333
natural language processing,0.02266298441677477,0.23980920277653894,50.0
classification approach,0.022625759749335825,0.672285673443012,6.666666666666667
language corpus,0.02215889983498294,0.1458581388008408,50.0
learner corpora,0.02173798325288282,0.17825472733016717,30.0
occurrence of word,0.021335578523701597,0.13695101323294004,40.0
language datum,0.021236472490077925,0.2568482819453599,46.666666666666664
corpus annotation,0.021101155192919774,0.2507208436047459,36.666666666666664
language acquisition,0.020754740508309878,0.18022845983311803,46.666666666666664
reference corpus,0.02061120717541231,0.12060719688168013,46.666666666666664
stop word,0.020457678861068126,0.46686812283362217,13.333333333333334
corpus file,0.02038475692673495,0.389647801142399,33.33333333333333
classification accuracy,0.019410350818793668,0.2495831831886479,13.333333333333334
researcher use,0.019337517498735406,0.35610970188243163,30.0
corpus method,0.01911525627920643,0.3398592958476709,23.333333333333332
research project,0.019065908925039714,0.1458581388008408,50.0
person pronoun,0.01893747251022424,0.37110328869963993,30.0
number of instance,0.018911447971646185,0.50623654786523,20.0
meta analysis,0.018739836311120386,0.2845244821320545,10.0
pearson chi,0.01850826885850407,0.5459209476026072,6.666666666666667
annotation scheme,0.018344851436994106,0.2822678748124679,30.0
number of word,0.0181996293338398,0.13563437539432988,43.333333333333336
text type,0.018171957403833674,0.12891367693563446,36.666666666666664
corpus design,0.018136063017762067,0.1110890523045285,40.0
language feature,0.017662581323176146,0.3156698746080744,20.0
collection of text,0.01752931904965314,0.2590833607543711,43.333333333333336
approach corpus,0.017422960756529236,0.18260268538132635,43.333333333333336
sample size,0.017317682473389145,0.18904198160040186,43.333333333333336
classification tree,0.017178517653179227,0.40122869316892873,10.0
research design,0.016985670818961702,0.3063489177787803,23.333333333333332
use of language,0.016649540117836824,0.2035299004397132,36.666666666666664
corpus building,0.01661547338174905,0.3292152478621269,23.333333333333332
loglength type,0.016527429059182377,0.49582287177547135,3.3333333333333335
parallel corpora,0.01637943918906432,0.15112219959821468,23.333333333333332
discourse domain,0.016352856464676373,0.42331604832424746,13.333333333333334
word type,0.016316975884008232,0.07909124436026256,40.0
word frequency,0.016168052511465324,0.09509304383135263,46.666666666666664
field of corpus,0.016159415079553256,0.2590833607543711,43.333333333333336
collocation network,0.016058423273807236,0.3377828269513127,10.0
data frame,0.01584456992958988,0.37154319329469415,6.666666666666667
pattern of language,0.015654284773369373,0.30765035999197804,30.0
type token,0.015588646197304344,0.12371756409979277,36.666666666666664
corpus contains,0.015482699484582795,0.15146982222599867,40.0
use of corpora,0.01540736560115779,0.18077998710917156,40.0
study of language,0.015313374890547182,0.10219745739014267,46.666666666666664
corpus text,0.015158882982964157,0.14803811651887153,33.33333333333333
